STT	Nội dung câu hỏi	Đáp án đúng		
1	Báo hiệu flash được thiết bị truy cập gửi tới hệ thống IMS thông qua bản tin SIP nào	INFO		
2	Các loại máy đo nào sau đây được dùng để đo chất lượng luồng E1 	"Máy ACTERNA EDT 135
Máy đo luồng Sunset
Máy đo luồng STM1 JDSU
"		
3	Các loại máy đo nào sau đây được dùng để đo chất lượng mạng vô tuyến trong hệ thống TTDĐ của VNPT-NET 	Máy MTU, máy Nemo, máy TEMS.		
4	Các mode hoạt động của máy TEMS Investigation dùng để đo quét sóng vô tuyến 	Idle mode, Dedicated mode, Scanner mode		
5	Các phương pháp đo luồng GE khi sử dụng máy đo EXPO FTB-200 	"Ethernet Frame Analyzer
- Ethernet BERT
- Ethernet RFC2544
- EthernetSAM
- EthernetSAM và RFC2544 Dual
- Ethernet Smat Loopback"		
6	Các thiết bị đo được cấp nguồn như thế nào 	Cả 3 câu A,B và C đều được		
7	Các thông số chính để đo chất lượng dịch vụ MegaWAN 	"Băng thông (Bandwidth)
Độ trễ (Delay)
Mất gói (Packet Loss)
"		
8	Các thông số chính khi thiết lập cho máy đo công suất quang	Đặt bước sóng; Chọn đơn vị đo		
9	Các thuộc tính thường được dùng để đo kiểm chất lượng thoại 	"Thời gian thiết lập cuộc gọi
Tỷ lệ cuộc gọi bị rớt
Tỷ lệ cuộc gọi thiết lập thành công
"		
10	Cách cấu hình cho các MS trong bài đo kiểm data 3G dùng máy đo MTU	"MS1: thiết lập chế độ WCDMA, trạng thái  active mode Thêm lệnh RasCommand sequence, cấu hình lệnh Ping đến địa chỉ www.google.com+ Dung lượng gói Ping: 100KB+ Số lần Ping: 100 lần+ Khoảng cách 2 lần ping: 10s;
MS1: thiết lập chế độ WCDMA, trạng thái  active mode Thêm lệnh RasCommand sequence, cấu hình lệnh HTTP Download"		
11	Cách cấu hình cho các MS trong bài đo kiểm data 3G dùng máy đo MTU 	"MS1: thiết lập chế độ WCDMA, trạng thái  active mode 
- Thêm lệnh RasCommand sequence, cấu hình lệnh Ping đến địa chỉ www.google.com
+ Dung lượng gói Ping: 100KB
+ Số lần Ping: 100 lần
+ Khoảng cách 2 lần ping: 10s;
- MS1: thiết lập chế độ WCDMA, trạng thái  active mode 
- Thêm lệnh RasCommand sequence, cấu hình lệnh HTTP Download

"		
12	Cách cấu hình cho các MS trong bài đo vùng phủ, cuộc gọi thoại trên sóng 2G dùng máy đo MTU là gì 	" MS1: thiết lập chế độ GSM, trạng thái Idle mode.
- MS2: thiết lập chế độ GSM, trạng thái active mode cấu hình lệnh Outgoing Call:
+ Số gọi: 18001091
+ Thời gian gọi: 60 giây
+ Khoảng cách 2 lần gọi: 10s
(và ngược lại)"		
