STT	N?i dung câu h?i	Ðáp án dúng
1	01 NE 5430 h? tr? t?i da bao nhiêu module LM 	30
2	Area Backbone hi?n t?i dang khai báo trong OSPF c?a m?ng IP Core Mobile hi?n t?i là bao nhiêu	0
3	AS Number c?a giao th?c IBGP dang s? d?ng trong m?ng IP Core cho di d?ng hi?n tài là bao nhiêu	65512
4	B?o du?ng thi?t b? vi?n thông có ?nh hu?ng liên l?c c?n th?c hi?n th?i gian nào	Sau 23h dêm
5	B? chuy?n d?i bu?c sóng quang (OWT) có ch?c nang 	Chuy?n d?i các bu?c sóng ngõ vào t? tiêu chu?n ITU-T G.957 thành ITU-T G.962 d? phù h?p v?i qui d?nh c?a h? th?ng DWDM
6	C? 2 Router P, PE trong m?ng IP Core cho Mobile d?u khai báo BGP v?i Router Reflector, dúng hay sai	FALSE
7	Các  router MAN-E du?c phân thành các lo?i nào sau dây theo ch?c nang? 	AGG router và UPE router
8	các báo hi?u nào sao dây du?c s? d?ng trong  t?ng dài NGN-HIE9200	H248; SIP; Sigtran
9	Các bu?c c?n th?c hi?n trong thao tác rút card OAU h?ng trên thi?t b? HW OSN8800 d? thay m?i	Ki?m tra card m?i cùng version v?i card c?n thay – ghi nh?n c?nh báo dang t?n t?i – kích ho?t ch?c nang ch? th? tháo card (board removal indication function) trên NMS – label các cáp trên card – mang dây t?nh di?n – rút card c?n thay ra
10	Các bu?c th?c hi?n remove m?t card CPU blade (làm ch?c nang OMU)  trên MSSND	"  1.Copy d? li?u t? OMU vào ? c?ng.
- 2.Ngan c?m vi?c c?p nh?t d? li?u lên ? c?ng.
- 3.Thay d?i tr?ng thái ? c?ng,
- 4.Thay d?i tr?ng thái OMU sang SE-NH.
- 5. Ti?n hành rút card."
11	Các card cung c?p giao di?n truy?n d?n TDM trên MGW c?a các MSS Ericsson dang ho?t d?ng theo co ch? d? phòng nhu th? nào	1+1
12	Các d?ch v? ( VPNL2 liên t?nh  ,VPNL3 ) trên m?ng VN2 du?c khai báo trên các thi?t nào du?i dây?	"Alcalte 7750SR 
Juniper MX-960 
"
13	Các giao th?c nào sau dây thu?c lo?i giao th?c EGP (Exterior Gateway Protocols) :	BGP
14	Các kh?i ch?c nang chính trong m?t card CLA c?a MWGN 	"OMU; CM; HCLB; SISU; GSU
"
15	Các lo?i Card nào dang du?c s? d?ng trên MGW4D, VNPT-NET2 	ACPI4-A, AHUB3-A, CPRT4-A, HBRT3-A, ADSP1-B.
16	Các lo?i Card nào dang du?c s? d?ng trên MSSN4D, VNPT-NET2 	ACPI4-B, AHUB3-A, CPRT4-B, HBRT3-A
17	Các lo?i card trong thi?t b? NE40E c?a Huawei	SRU ,  LPU ; SFU    
18	Các lo?i d?ch v? dang khai báo trên MAN-E c?a VNPT?	"D?ch v? VPN Layer 2 ( ELAN , ETREE ) 
D?ch v? Virtual Leased Line ( ELINE ) 
D?ch v? MyTV/VoD 
"
19	Các lo?i giao di?n dang s? d?ng trên PE 7750 SR-7 là gì 	1GE, 10GE, STM16, STM64
20	Các lo?i Line card có trong MAN-E cisco	"7600-ES+2TG3C
7600-ES+20G3C
7600-ES+4TG3C 
7600-ES20-10G3C ,7600-ES20-GE3C 
"
21	Các l?p nào sau dây thu?c v? c?u trúc phân l?p c?a h? th?ng chuy?n m?ch m?m:	"L?p di?u khi?n; 
L?p phuong ti?n
"
22	Các m?ng nào sau dây thu?c lo?i Broadcast Multi-access :	Ethernet
23	Các m?ng nào sau dây thu?c lo?i NBMA (Nonbroadcast Multi-access) :	"Frame Relay
ATM
X.25
"
24	Các model router dang du?c khai thác trên m?ng MAN-E ?   	"CISCO7609  và CISCO7609
Huawei NE40E-4 và Huawei NE40E-8
"
25	Các ph?n t? thu?c m?ng vô tuy?n 2G	BTS/BSC
26	Các Router trong m?ng IP Core cho di d?ng hi?n t?i có c?u hình COPP( Control Plane Policing) 	Có
27	Các router trong m?ng IP Core Mobile VNP s? d?ng xác th?c user login là xác th?c TACACS+, dúng hay sai	FALSE
28	Các shelf qu?t du?c c?p ngu?n b?i nh?ng CB nào	A9, A10, B9, B10
29	Các tiêu chu?n ITU-T G.821, G.826, G.829 là các tiêu chu?n 	Ð? dánh giá ch?t lu?ng du?ng truy?n d?n PDH và SDH.
30	Các T?ng dài MSS Ericsson card nào th?c hi?n ch?c nang x? lý tho?i và tri?t ti?ng v?ng 	MSB
31	Các T?ng dài MSS Ericsson khu v?c dài CTO dang du?c giám sát qua giao th?c gì	Telnet
32	Các t?ng dài MSS Ericsson t?i khu v?c dài VT C?n Tho dùng d? cung c?p d?ch v? gì trong m?ng thông tin di d?ng 	D?ch v? tho?i 
33	các thành ph?n co b?n c?a t?ng dài NGN-HIE9200	CP113, MB, MCPA , HIG 1200/HIG1800, PCU, NETM
34	Các thi?t b? EAGLE 5 ISS Tekelec n?m trong h? th?ng nào trên m?ng lu?i c?a TCT NEt?	M?ng báo hi?u STP
35	Các thi?t b? nào sau dây có co c?u t?n nhi?t hút theo chi?u th?ng d?ng?	"T1600, MX960, 7750-SR7; 
T1600, MX960, 7750-SR12"
36	Các thi?t b? US5Ge n?m trong h? th?ng nào trên m?ng lu?i 	M?ng d?ng b?
37	Các VNPT TTP nào thu?c khu v?c VNPT Net2 hi?n dang trang b? h? th?ng MAN-E Huawei	"Lâm Ð?ng
Long An
Bình Thu?n
"
38	Card 8xGE/T h? tr? d? dài gói Ethernet d?n 9600 bytes, dúng hay sai	TRUE
39	Card HOCC thi?t b? FW4570 có kh? nang k?t n?i chéo m?i c?p d? VC, dúng hay sai 	FALSE
40	Card IPDU trong h? th?ng MSSN4D ho?t d?ng theo co ch? nào 	2 + 1
41	Card nào sau dây th?c hi?n ch?c nang khuy?t d?i tín hi?u trong ring nam HW OSN8800	"OAU
RAU
"
42	Card nào trên các Mediagateway c?a các MSS Ericsson cung c?p giao di?n IP d? k?t n?i d?n m?ng IP-Core	ET-IPG
43	Card nào trên các MGW Ericsson cung c?p giao di?n truy?n d?n ATM 	ET-MC1 
44	Card nào trên các MGW Ericsson nh?n và x? lý tín hi?u d?ng b? 2Mhz	TUB
45	Card x? lý chung trong h? th?ng STP Tekelek là card nào sau dây	E5-MASP  A, B
46	C?u hình thi?t b? FW7500 ch? có hai hu?ng quang có add/drop bu?c sóng, có th? ch?n c?u hình  	"2D-ROADM
WSS-ROADM"
47	Câu l?nh d? ki?m tra tr?ng thái Master/Slave trên Router Huawei là	"Display device; Display version
"
48	Câu l?nh du?c s? d?ng trong quá trình thu th?p thông tin cho router Cisco d? ph?c v? ch?n doán, x? lý l?i là gì	Show tech-support
49	C?u trúc c?a SoftSwitch HiE 9200 bao g?m các thành ph?n nào	CFS, ICN, PM, SG và OAM&P agent
50	C?u trúc h? th?ng c?a t?ng dài AXE10 du?c chia làm 02 ph?n, tên g?i hai ph?n dó là gì?	APT và APZ
51	C?u trúc khung PCM 30 du?c mã hóa theo lu?t A có d?c tính co b?n sau:	T?c d? truy?n 2,048 Kb/s, m?t khung g?m 32 TS/30 CH
52	Có bao nhiêu module “Power and Fan” trên subrack IS c?a các MSS Ericsson blade cluster	2
53	Có th? s? d?ng l?nh d? chuy?n thuê bao qua l?i gi?a 2 MSS trong cùng 1 Pool, dúng hay sai	TRUE
54	C?ng giao ti?p gi?a PE/VN2 và MAN-E s? d?ng lo?i c?ng nào sao dây 	1GE ; 10GE-LAN 
55	Co ch? chuy?n m?ch b?o v? bu?c sóng quang dang s? d?ng trên ring BB2 ALU	ASON
56	Co ch? Pool nào dang ho?t d?ng trên các t?ng dài Ericsson khu v?c dài CTO	"MPP
MiP"
57	Ch? d? ch?y d? phòng c?a card GISU (General Signalling Unit) trong MSSN nhu th? nào	N+ 3
58	Ch?c nang các thi?t b? SSU du?c l?p d?t t?i các tr?m vi?n thông Tlà gì 	C?p các lu?ng tín hi?u d?ng b? 2MHZ và 2MBPS cho các thi?t b? Vi?n thông
59	Ch?c nang card SHP3 s? d?ng trong h? th?ng FW7500 là gì 	Qu?n lý d? li?u, d?nh tuy?n và k?t cu?i DCC, OSC. H? tr? t?i ph?m m?m. H? tr? luu tr? và ph?c h?i b? nh? t? xa. Ði?u khi?n chuy?n m?ch b?o v? quang. Phát hi?n và c?nh báo l?i. Giám sát và c?nh báo ch?t lu?ng h? th?ng
60	Ch?c nang c?a  STP là gì 	Chuy?n ti?p báo hi?u t? 1 dài này t?i 1 dài khác 
