Nội dung câu hỏi	Đáp án đúng
01 NE 5430 hỗ trợ tối đa bao nhiêu module LM 	30
Area Backbone hiện tại đang khai báo trong OSPF của mạng IP Core Mobile hiện tại là bao nhiêu	0
AS Number của giao thức IBGP đang sử dụng trong mạng IP Core cho di động hiện tài là bao nhiêu	65512
Bảo dưỡng thiết bị viễn thông có ảnh hưởng liên lạc cần thực hiện thời gian nào	Sau 23h đêm
Bộ chuyển đổi bước sóng quang (OWT) có chức năng 	Chuyển đổi các bước sóng ngõ vào từ tiêu chuẩn ITU-T G.957 thành ITU-T G.962 để phù hợp với qui định của hệ thống DWDM
Cả 2 Router P, PE trong mạng IP Core cho Mobile đều khai báo BGP với Router Reflector, đúng hay sai	FALSE
Các  router MAN-E được phân thành các loại nào sau đây theo chức năng? 	AGG router và UPE router
các báo hiệu nào sao đây được sử dụng trong  tổng đài NGN-HIE9200	H248; SIP; Sigtran
Các bước cần thực hiện trong thao tác rút card OAU hỏng trên thiết bị HW OSN8800 để thay mới	Kiểm tra card mới cùng version với card cần thay – ghi nhận cảnh báo đang tồn tại – kích hoạt chức năng chị thị tháo card (board removal indication function) trên NMS – label các cáp trên card – mang dây tỉnh điện – rút card cần thay ra
Các bước thực hiện remove một card CPU blade (làm chức năng OMU)  trên MSSND	"  1.Copy dữ liệu từ OMU vào ổ cứng.
- 2.Ngăn cấm việc cập nhật dữ liệu lên ổ cứng.
- 3.Thay đổi trạng thái ổ cứng,
- 4.Thay đổi trạng thái OMU sang SE-NH.
- 5. Tiến hành rút card."
Các card cung cấp giao diện truyền dẫn TDM trên MGW của các MSS Ericsson đang hoạt động theo cơ chế dự phòng như thế nào	1+1
Các dịch vụ ( VPNL2 liên tỉnh  ,VPNL3 ) trên mạng VN2 được khai báo trên các thiết nào dưới đây?	"Alcalte 7750SR 
Juniper MX-960 
"
Các giao thức nào sau đây thuộc loại giao thức EGP (Exterior Gateway Protocols) :	BGP
Các khối chức năng chính trong một card CLA của MWGN 	"OMU; CM; HCLB; SISU; GSU
"
Các loại Card nào đang được sử dụng trên MGW4D, VNPT-NET2 	ACPI4-A, AHUB3-A, CPRT4-A, HBRT3-A, ADSP1-B.
Các loại Card nào đang được sử dụng trên MSSN4D, VNPT-NET2 	ACPI4-B, AHUB3-A, CPRT4-B, HBRT3-A
Các loại card trong thiết bị NE40E của Huawei	SRU ,  LPU ; SFU    
Các loại dịch vụ đang khai báo trên MAN-E của VNPT?	"Dịch vụ VPN Layer 2 ( ELAN , ETREE ) 
Dịch vụ Virtual Leased Line ( ELINE ) 
Dịch vụ MyTV/VoD 
"
Các loại giao diện đang sử dụng trên PE 7750 SR-7 là gì 	1GE, 10GE, STM16, STM64
Các loại Line card có trong MAN-E cisco	"7600-ES+2TG3C
7600-ES+20G3C
7600-ES+4TG3C 
7600-ES20-10G3C ,7600-ES20-GE3C 
"
Các lớp nào sau đây thuộc về cấu trúc phân lớp của hệ thống chuyển mạch mềm:	"Lớp điều khiển; 
Lớp phương tiện
"
Các mạng nào sau đây thuộc loại Broadcast Multi-access :	Ethernet
Các mạng nào sau đây thuộc loại NBMA (Nonbroadcast Multi-access) :	"Frame Relay
ATM
X.25
"
Các model router đang được khai thác trên mạng MAN-E ?   	"CISCO7609  và CISCO7609
Huawei NE40E-4 và Huawei NE40E-8
"
Các phần tử thuộc mạng vô tuyến 2G	BTS/BSC
Các Router trong mạng IP Core cho di động hiện tại có cấu hình COPP( Control Plane Policing) 	Có
Các router trong mạng IP Core Mobile VNP sử dụng xác thực user login là xác thực TACACS+, đúng hay sai	FALSE
Các shelf quạt được cấp nguồn bởi những CB nào	A9, A10, B9, B10
Các tiêu chuẩn ITU-T G.821, G.826, G.829 là các tiêu chuẩn 	Để đánh giá chất lượng đường truyền dẫn PDH và SDH.
Các Tổng đài MSS Ericsson card nào thực hiện chức năng xử lý thoại và triệt tiếng vọng 	MSB
Các Tổng đài MSS Ericsson khu vực đài CTO đang được giám sát qua giao thức gì	Telnet
Các tổng đài MSS Ericsson tại khu vực đài VT Cần Thơ dùng để cung cấp dịch vụ gì trong mạng thông tin di động 	Dịch vụ thoại 
các thành phần cơ bản của tổng đài NGN-HIE9200	CP113, MB, MCPA , HIG 1200/HIG1800, PCU, NETM
Các thiết bị EAGLE 5 ISS Tekelec nằm trong hệ thống nào trên mạng lưới của TCT NEt?	Mạng báo hiệu STP
Các thiết bị nào sau đây có cơ cấu tản nhiệt hút theo chiều thẳng đứng?	"T1600, MX960, 7750-SR7; 
T1600, MX960, 7750-SR12"
Các thiết bị US5Ge nằm trong hệ thống nào trên mạng lưới 	Mạng đồng bộ
Các VNPT TTP nào thuộc khu vực VNPT Net2 hiện đang trang bị hệ thống MAN-E Huawei	"Lâm Đồng
Long An
Bình Thuận
"
Card 8xGE/T hỗ trợ độ dài gói Ethernet đến 9600 bytes, đúng hay sai	TRUE
Card HOCC thiết bị FW4570 có khả năng kết nối chéo mọi cấp độ VC, đúng hay sai 	FALSE
Card IPDU trong hệ thống MSSN4D hoạt động theo cơ chế nào 	2 + 1
